di VIIP1S0 dar
di VIR02S0 decir
dime VIR02S0 decir
dite VIR02S0 decir
dilo VIR02S0 decir
dila VIR02S0 decir
dilos VIR02S0 decir
dilas VIR02S0 decir
dile VIR02S0 decir
diles VIR02S0 decir
dinos VIR02S0 decir
diagnostico V0IP1S0 diagnosticar
diagnosticas V0IP2S0 diagnosticar
diagnostica V0IP3S0 diagnosticar
diagnosticamos V0IP1P0 diagnosticar
diagnosticáis V0IP2P0 diagnosticar
diagnostican V0IP3P0 diagnosticar
diagnosticaba V0II1S0 diagnosticar
diagnosticabas V0II2S0 diagnosticar
diagnosticaba V0II3S0 diagnosticar
diagnosticábamos V0II1P0 diagnosticar
diagnosticabais V0II2P0 diagnosticar
diagnosticaban V0II3P0 diagnosticar
diagnosticaste V0IS2S0 diagnosticar
diagnosticó V0IS3S0 diagnosticar
diagnosticamos V0IS1P0 diagnosticar
diagnosticasteis V0IS2P0 diagnosticar
diagnosticaron V0IS3P0 diagnosticar
diagnosticaré V0IF1S0 diagnosticar
diagnosticarás V0IF2S0 diagnosticar
diagnosticará V0IF3S0 diagnosticar
diagnosticaremos V0IF1P0 diagnosticar
diagnosticaréis V0IF2P0 diagnosticar
diagnosticarán V0IF3P0 diagnosticar
diagnosticaría V0C01S0 diagnosticar
diagnosticarías V0C02S0 diagnosticar
diagnosticaría V0C03S0 diagnosticar
diagnosticaríamos V0C01P0 diagnosticar
diagnosticaríais V0C02P0 diagnosticar
diagnosticarían V0C03P0 diagnosticar
diagnosticara V0SI1S0 diagnosticar
diagnosticase V0SI1S0 diagnosticar
diagnosticaras V0SI2S0 diagnosticar
diagnosticases V0SI2S0 diagnosticar
diagnosticara V0SI3S0 diagnosticar
diagnosticase V0SI3S0 diagnosticar
diagnosticáramos V0SI1P0 diagnosticar
diagnosticásemos V0SI1P0 diagnosticar
diagnosticarais V0SI2P0 diagnosticar
diagnosticaseis V0SI2P0 diagnosticar
diagnosticaran V0SI3P0 diagnosticar
diagnosticasen V0SI3P0 diagnosticar
diagnosticare V0SF1S0 diagnosticar
diagnosticares V0SF2S0 diagnosticar
diagnosticare V0SF3S0 diagnosticar
diagnosticáremos V0SF1P0 diagnosticar
diagnosticareis V0SF2P0 diagnosticar
diagnosticaren V0SF3P0 diagnosticar
diagnostica V0R02S0 diagnosticar
diagnostícame V0R02S0 diagnosticar
diagnostícate V0R02S0 diagnosticar
diagnostícalo V0R02S0 diagnosticar
diagnostícala V0R02S0 diagnosticar
diagnostícalos V0R02S0 diagnosticar
diagnostícalas V0R02S0 diagnosticar
diagnostícale V0R02S0 diagnosticar
diagnostícales V0R02S0 diagnosticar
diagnostícanos V0R02S0 diagnosticar
diagnostícamelo V0R02S0 diagnosticar
diagnostícamela V0R02S0 diagnosticar
diagnostícamelos V0R02S0 diagnosticar
diagnostícamelas V0R02S0 diagnosticar
diagnostícamele V0R02S0 diagnosticar
diagnostícameles V0R02S0 diagnosticar
diagnostícatelo V0R02S0 diagnosticar
diagnostícatela V0R02S0 diagnosticar
diagnostícatelos V0R02S0 diagnosticar
diagnostícatelas V0R02S0 diagnosticar
diagnostícatele V0R02S0 diagnosticar
diagnostícateles V0R02S0 diagnosticar
diagnostícanoslo V0R02S0 diagnosticar
diagnostícanosla V0R02S0 diagnosticar
diagnostícanoslos V0R02S0 diagnosticar
diagnostícanoslas V0R02S0 diagnosticar
diagnostícanosle V0R02S0 diagnosticar
diagnostícanosles V0R02S0 diagnosticar
diagnosticad V0R02P0 diagnosticar
diagnosticadme V0R02P0 diagnosticar
diagnosticadse V0R02P0 diagnosticar
diagnosticadlo V0R02P0 diagnosticar
diagnosticadla V0R02P0 diagnosticar
diagnosticadlos V0R02P0 diagnosticar
diagnosticadlas V0R02P0 diagnosticar
diagnosticadle V0R02P0 diagnosticar
diagnosticadles V0R02P0 diagnosticar
diagnosticadnos V0R02P0 diagnosticar
diagnosticádmelo V0R02P0 diagnosticar
diagnosticádmela V0R02P0 diagnosticar
diagnosticádmelos V0R02P0 diagnosticar
diagnosticádmelas V0R02P0 diagnosticar
diagnosticádmele V0R02P0 diagnosticar
diagnosticádmeles V0R02P0 diagnosticar
diagnosticádselo V0R02P0 diagnosticar
diagnosticádsela V0R02P0 diagnosticar
diagnosticádselos V0R02P0 diagnosticar
diagnosticádselas V0R02P0 diagnosticar
diagnosticádsele V0R02P0 diagnosticar
diagnosticádseles V0R02P0 diagnosticar
diagnosticádnoslo V0R02P0 diagnosticar
diagnosticádnosla V0R02P0 diagnosticar
diagnosticádnoslos V0R02P0 diagnosticar
diagnosticádnoslas V0R02P0 diagnosticar
diagnosticádnosle V0R02P0 diagnosticar
diagnosticádnosles V0R02P0 diagnosticar
diagnosticádsenos V0R02P0 diagnosticar
diagnosticar V0N0000 diagnosticar
diagnosticarme V0N0000 diagnosticar
diagnosticarte V0N0000 diagnosticar
diagnosticarse V0N0000 diagnosticar
diagnosticarlo V0N0000 diagnosticar
diagnosticarla V0N0000 diagnosticar
diagnosticarlos V0N0000 diagnosticar
diagnosticarlas V0N0000 diagnosticar
diagnosticarle V0N0000 diagnosticar
diagnosticarles V0N0000 diagnosticar
diagnosticarnos V0N0000 diagnosticar
diagnosticármelo V0N0000 diagnosticar
diagnosticármela V0N0000 diagnosticar
diagnosticármelos V0N0000 diagnosticar
diagnosticármelas V0N0000 diagnosticar
diagnosticármele V0N0000 diagnosticar
diagnosticármeles V0N0000 diagnosticar
diagnosticártelo V0N0000 diagnosticar
diagnosticártela V0N0000 diagnosticar
diagnosticártelos V0N0000 diagnosticar
diagnosticártelas V0N0000 diagnosticar
diagnosticártele V0N0000 diagnosticar
diagnosticárteles V0N0000 diagnosticar
diagnosticárselo V0N0000 diagnosticar
diagnosticársela V0N0000 diagnosticar
diagnosticárselos V0N0000 diagnosticar
diagnosticárselas V0N0000 diagnosticar
diagnosticársele V0N0000 diagnosticar
diagnosticárseles V0N0000 diagnosticar
diagnosticárnoslo V0N0000 diagnosticar
diagnosticárnosla V0N0000 diagnosticar
diagnosticárnoslos V0N0000 diagnosticar
diagnosticárnoslas V0N0000 diagnosticar
