yendo VIG0000 ir
yerga VIR03S0 erguir
yerga VISP1S0 erguir
yerga VISP3S0 erguir
yergáis VISP2P0 erguir
yergamos VIR01P0 erguir
yergámoslo VIR01P0 erguir
yergámosla VIR01P0 erguir
yergámoslos VIR01P0 erguir
yergámoslas VIR01P0 erguir
yergámosle VIR01P0 erguir
yergámosles VIR01P0 erguir
yergámonos VIR01P0 erguir
yergámosmelo VIR01P0 erguir
yergámosmela VIR01P0 erguir
yergámosmelos VIR01P0 erguir
yergámosmelas VIR01P0 erguir
yergámosmele VIR01P0 erguir
yergámosmeles VIR01P0 erguir
yergámostelo VIR01P0 erguir
yergámostela VIR01P0 erguir
yergámostelos VIR01P0 erguir
yergámostelas VIR01P0 erguir
yergámostele VIR01P0 erguir
yergámosteles VIR01P0 erguir
yergámosselo VIR01P0 erguir
yergámossela VIR01P0 erguir
yergámosselos VIR01P0 erguir
yergámosselas VIR01P0 erguir
yergámossele VIR01P0 erguir
yergámosseles VIR01P0 erguir
yergámonoslo VIR01P0 erguir
yergámonosla VIR01P0 erguir
yergámonoslos VIR01P0 erguir
yergámonoslas VIR01P0 erguir
yergámonosle VIR01P0 erguir
yergámonosles VIR01P0 erguir
yergámossenos VIR01P0 erguir
yergamos VISP1P0 erguir
yergan VIR03P0 erguir
yergan VISP3P0 erguir
yergas VISP2S0 erguir
yergo VIIP1S0 erguir
yergue VIIP3S0 erguir
yergue VIR02S0 erguir
yerguéis VIIP2P0 erguir
yerguen VIIP3P0 erguir
yergues VIIP2S0 erguir
yerro V0IP1S0 errar
yerras V0IP2S0 errar
yerra V0IP3S0 errar
yerran V0IP3P0 errar
yerre V0SP1S0 errar
yerres V0SP2S0 errar
yerre V0SP3S0 errar
yerren V0SP3P0 errar
yerra V0R02S0 errar
yerre V0R03S0 errar
yerren V0R03P0 errar
